Borough,Month,Year,Cars_And_Taxis,Buses_and_Coaches,Motorbikes,HGVs,LGVs,no2
Haringey,11,2018,750.75,24.25,11.333333333333334,12.833333333333334,168.08333333333334,49.39867725833333
Havering,3,2019,1045.4166666666667,6.5,8.0,60.958333333333336,200.16666666666666,37.58776082458333
Havering,4,2018,754.8333333333334,15.416666666666666,5.75,12.63888888888889,130.38888888888889,49.17433630722223
Havering,4,2019,1072.125,49.0,17.833333333333332,48.75,226.125,24.862184198333328
Havering,4,2020,1422.8055555555557,60.77777777777778,16.694444444444443,500.8333333333333,557.8333333333334,13.03161630636111
Havering,4,2021,2166.875,10.958333333333334,37.125,102.875,514.875,20.19594965125
Havering,5,2018,567.4880952380952,7.904761904761905,5.345238095238095,29.238095238095237,118.41666666666667,24.33254923516667
Havering,5,2019,572.4375,25.4375,4.479166666666667,7.5625,73.75,28.592560669624987
Havering,5,2020,348.75,12.61111111111111,4.416666666666667,11.527777777777779,88.36111111111111,26.071379757777777
Havering,5,2021,597.9444444444445,17.166666666666668,4.527777777777778,17.333333333333332,113.16666666666667,24.265741749249997
Havering,6,2018,523.6944444444445,9.268518518518519,4.083333333333333,9.675925925925926,83.03703703703704,25.246491937009253
Havering,6,2019,544.3972602739726,3.684931506849315,7.082191780821918,56.84931506849315,131.91780821917808,38.065907584109596
Havering,6,2020,1263.4848484848485,1.696969696969697,8.787878787878787,478.7878787878788,475.09090909090907,22.969258784484843
Havering,6,2021,1593.2432432432433,14.945945945945946,25.27027027027027,99.27027027027027,310.27027027027026,14.07739151437838
Havering,7,2018,1117.5833333333333,9.016666666666667,23.35,160.88333333333333,284.8,29.774732435666674
Havering,7,2019,605.4583333333334,6.75,4.777777777777778,17.375,100.61111111111111,30.223531682736116
Havering,7,2020,1068.5,44.291666666666664,20.416666666666668,37.708333333333336,191.33333333333334,24.168789860541665
Havering,9,2018,880.8333333333334,27.479166666666668,7.4375,11.104166666666666,155.29166666666666,28.209912195416667
Havering,9,2019,732.2222222222222,26.0,5.0,12.38888888888889,136.52777777777777,30.031056331388893
Havering,9,2020,537.4375,15.604166666666666,4.75,10.854166666666666,84.35416666666667,23.605929387916664
Havering,9,2021,479.4166666666667,14.35,5.7,28.666666666666668,93.66666666666667,28.531325751899995
Havering,10,2018,317.47222222222223,4.027777777777778,2.0277777777777777,3.6944444444444446,56.52777777777778,35.99692938555556
Havering,10,2019,1123.1944444444443,10.25,22.0,35.75,219.41666666666666,31.578191014138888
Havering,11,2020,802.5,26.833333333333332,6.333333333333333,11.083333333333334,103.83333333333333,22.4626972475
Islington,3,2019,232.625,16.875,17.625,6.583333333333333,73.91666666666667,26.348739448749996
Islington,4,2021,408.1666666666667,18.0,34.333333333333336,27.166666666666668,120.25,10.299881470916668
Islington,5,2018,430.2307692307692,39.30769230769231,56.205128205128204,29.307692307692307,176.82051282051282,34.34871599846154
Islington,5,2019,79.08333333333333,1.75,11.0,3.4166666666666665,39.416666666666664,27.412320663333333
Islington,5,2020,33.0,0.0,2.5,2.1666666666666665,13.583333333333334,23.335164532500002
Islington,5,2021,545.0833333333334,43.0,64.61111111111111,43.94444444444444,166.66666666666666,24.816952990833336
Islington,6,2018,667.0833333333334,43.333333333333336,74.125,59.875,278.7083333333333,28.49830104375
Islington,6,2019,286.8888888888889,18.944444444444443,30.97222222222222,11.333333333333334,104.61111111111111,33.38965348944444
Islington,6,2020,368.94444444444446,37.611111111111114,41.388888888888886,24.97222222222222,129.11111111111111,20.61236084472223
Islington,6,2021,381.375,22.416666666666668,47.25,33.583333333333336,143.45833333333334,21.776847858750003
Islington,7,2018,362.75,84.125,52.208333333333336,28.0,145.20833333333334,36.680459915833346
Islington,7,2019,265.30555555555554,32.25,29.444444444444443,19.694444444444443,99.83333333333333,29.92308256472223
Islington,7,2020,552.1666666666666,1.0,53.583333333333336,18.25,124.25,18.903599875833333
Islington,7,2021,410.1666666666667,81.08333333333333,65.83333333333333,43.166666666666664,129.33333333333334,10.03576063625
Islington,9,2018,185.61904761904762,17.25,21.785714285714285,10.952380952380953,62.904761904761905,35.91037578654761
Islington,9,2019,39.541666666666664,0.10416666666666667,9.145833333333334,2.625,16.5,29.087924076041674
Islington,9,2021,668.25,14.916666666666666,70.33333333333333,39.916666666666664,206.08333333333334,17.16189859575
